type,hood,distance,heading,value,x,y,theta
prob,up,1.25,0,0,1.905,0,0
prob,up,3.175,0,0.75,3.175,0,0
prob,up,4.572,0,1,4.572,0,0
prob,up,5.588,0,0.8,5.588,0,0
prob,up,6.35,0,0.6,6.35,0,0
prob,up,15.24,0,0.6,15.24,0,0
