type,hood,distance,heading,value,x,y,theta
prob,down,75,0,0,0,0,0
prob,down,120,0,100,0,0,0
prob,down,135,0,80,0,0,0
prob,down,600,0,0,0,0,0
prob,up,115,0,0,0,0,0
prob,up,125,0,75,0,0,0
prob,up,180,0,100,0,0,0
prob,up,220,0,90,0,0,0
prob,up,250,0,75,0,0,0
prob,up,600,0,60,0,0,0
