type,hood,distance,heading,value,x,y,theta
prob,up,3.288862394236289,0.05732482613360679,0.875,-1.7083159694773573,-3.046589935743342,-2.0688668900613147
flywheel,up,3.5957887270984923,0.0003947128181436277,2475.0,-1.847472654465771,-3.320374613749087,-2.0152082574054466
tof,up,3.5960621016592964,0.0035820358125802088,1.0,-1.847584675521846,-3.3206239213610447,-2.0183498501838715
tof,up,3.596016762925659,0.004997241851133261,1.15,-1.8475672131444707,-3.3205817823635737,-2.0197461132941847
tof,up,3.596040174610324,0.007476176281588476,0.99,-1.8475731426065845,-3.3206042032421577,-2.0221895750376024
tof,up,3.5957228230509735,0.011016162025990983,1.18,-1.8474351087983512,-3.3203168733095025,-2.0256802322932344
prob,up,3.595723562430572,0.01243201780466352,0.875,-1.8474351087983512,-3.3203168733095025,-2.0270764964438435
flywheel,up,3.907766461380395,-0.0321252859252219,2500.0,-1.987939780236266,-3.5989945779529395,-1.984911510764383
tof,up,3.907788056477944,-0.03141795861911856,1.09,-1.9879489420555183,-3.599015422413885,-1.9856096417993907
tof,up,3.9074440874743654,-0.03017800647509894,1.15,-1.987792701601683,-3.5987110517761804,-1.9868313731912481
tof,up,3.9071627317276403,-0.024695675005453666,1.12,-1.987667719978702,-3.598467621551827,-1.9922418949543397
tof,up,3.9070445302130152,-0.021333813542531388,1.27,-1.9876081513592814,-3.5983695827380298,-1.9955580173706249
prob,up,3.9070431776185215,-0.02009630625541714,1.0,-1.9876081513592814,-3.5983695827380298,-1.9967797508430774
#flywheel,up,4.27952278669616,-0.0660720110125208,2575.0,-2.5483188087640567,-3.727535185692429,-2.055398390018689
#tof,up,4.287703632584183,-0.07547418137005835,1.23,-2.547728205770232,-3.7264823164184486,-2.04597361272371
flywheel,up,4.286861895563985,-0.08608605409015802,2600.0,-2.5473274339833156,-3.725689853647445,-2.035501636795625
tof,up,4.286474516337467,-0.0956296277642128,1.2,-2.5471322234088003,-3.725303819058417,-2.026076859500646
tof,up,4.2871144461910236,-0.10568033223882622,1.24,-2.547388789709904,-3.7258373303975905,-2.0161284818488165
tof,up,4.273862197458199,-0.11052277079797257,1.07,-2.5491139118723263,-3.7249500021080153,-2.012131404448353
tof,up,4.286790668933091,-0.11089562304162293,1.23,-2.5489043197617347,-3.724495016467962,-2.01143327276316
prob,up,4.286796608706716,-0.11195506807093558,1.0,-2.5489043197617347,-3.724495016467962,-2.0103860752353695
flywheel,up,4.554523698311663,-0.09112973564971227,2700.0,-2.673913557058192,-3.9619815716580407,-2.0270816135027485
tof,up,4.554318197474993,-0.09113037832777326,1.31,-2.673809096878961,-3.961804576651585,-2.0270816135027485
tof,up,4.5537705625270855,-0.09537506833151888,1.25,-2.673551383716741,-3.961296959889929,-2.022892824171812
tof,up,4.5534495659517145,-0.09926412565228304,1.25,-2.6734015551425667,-3.9609900315960846,-2.019053099318082
tof,up,4.553565521826364,-0.09979104855990073,1.16,-2.673451018736857,-3.9610925700823283,-2.0185295010418263
prob,up,4.553236372205309,-0.09750284005884602,0.875,-2.673307917104007,-3.9608076850865337,-2.020798428986195
flywheel,up,4.872442445428401,-0.09092034848468966,2875.0,-2.875182377112388,-4.2114606860170385,-2.0358226205797307
tof,up,4.870878458854245,-0.10029780938477639,1.14,-2.874464917171517,-4.210012036004604,-2.026572376043503
tof,up,4.870801222246716,-0.107351599802886,1.23,-2.8744069322259174,-4.209913646005624,-2.01959105737105
tof,up,4.870355312523941,-0.11282679369319304,1.28,-2.874192617227305,-4.209486119037221,-2.014180537688553
tof,up,4.8700723143000015,-0.11477323974559361,1.31,-2.8740655661340515,-4.20921878407256,-2.012260677342282
prob,up,4.870553470582581,-0.11581998790642967,0.875,-2.874269930831612,-4.209651060558076,-2.0112134766285825
flywheel,up,5.740897734251017,-0.14574520884336906,3325.0,-3.208133606574245,-5.024329100831165,-1.956225582695161
tof,up,5.74067677360279,-0.14610515206720898,1.55,-3.208059191175074,-5.024113552583561,-1.9558765171776564
tof,up,5.740323279144653,-0.14963985359702825,1.69,-3.20793470178394,-5.023746357120805,-1.9523858620026198
tof,up,5.740319861301519,-0.15210561847749826,1.63,-3.2079288363160243,-5.023724173416887,-1.9499424033800936
tof,up,5.740300596201975,-0.1582694029503049,1.56,-3.207905121875203,-5.023660073406881,-1.9438337526625893
prob,up,5.740313245893564,-0.15985383192524694,0.6,-3.2079051218752035,-5.023660073406881,-1.942262953672633
flywheel,up,7.1678450738210895,-0.07128329090994256,4275.0,-3.81938173017467,-6.31919248867016,-2.012313859023835
tof,up,7.164679890845141,-0.07605387703263577,1.86,-3.8179768263527905,-6.316330678641073,-2.0076014703763447
tof,up,7.1681422250536375,-0.07390181041079735,1.89,-3.819411221858504,-6.319505717725032,-2.0096958634813675
tof,up,7.163916657712604,-0.08026492399504992,1.82,-3.8175494851802734,-6.315676162054244,-2.0034126841663
tof,up,7.161490862274289,-0.11580872656396224,1.86,-3.816528389358358,-6.313264829116314,-1.9681570252865317
prob,up,7.162639284685219,-0.11877804765613398,0.375,-3.8169681011050156,-6.314314938823003,-1.96518996422656
