timestamp,x,y,theta,target_angle,target_distance,limelight_angle,limelight_distance
1649608106.8168976,-0.5718186264595129,-2.3308329453348677,-1.5109123109047173,2.8871170593313806,2.3518202935598955,0.0,0.0
1649608107.0765767,-0.5718186264595129,-2.3308329453348677,-1.5109123109047173,2.8871170593313806,2.3518202935598955,0.0,0.0
1649608107.0765767,-0.5718186264595129,-2.3308329453348677,-1.5109123109047173,2.8871170593313806,2.3518202935598955,0.0,0.0
1649608107.1169865,-0.5718186264595129,-2.3308329453348677,-1.5107377781459654,2.8871170593313806,2.3518202935598955,0.0,0.0
1649608107.217793,-0.5718186264595129,-2.3308329453348677,-1.5107377781459654,2.8869389585228875,2.351822964485134,0.0,0.0
1649608107.318898,-0.5718186264595129,-2.3308329453348677,-1.5107377781459654,2.8869389585228875,2.351822964485134,0.0,0.0
1649608107.419732,-0.5718186264595129,-2.3308329453348677,-1.5107377781459654,2.8869389585228875,2.351822964485134,0.0,0.0
1649608107.5205452,-0.5718186264595129,-2.3308329453348677,-1.5105632453872133,2.886760857920769,2.351825636904845,0.0,0.0
1649608107.621484,-0.5718186264595129,-2.3308329453348677,-1.5107377781459654,2.8869389585228875,2.351822964485134,0.0,0.0
1649608107.7225666,-0.5718394912203166,-2.330492047245871,-1.5091669812366042,2.8852920122250083,2.3515216204610443,2.953051558407023,2.1034131621918797
1649608107.8234584,-0.5718605404226235,-2.330151160478187,-1.509516046754108,2.8848256928885316,2.3480878016162317,2.914344356870163,2.1632223685612213
1649608107.9241679,-0.5718564979838978,-2.3302193478387196,-1.511610441939725,2.884701764059372,2.3445498324868366,2.899935894469666,2.1749921083867085
1649608108.0249107,-0.5718509520316455,-2.330310255056949,-1.5105632453872133,2.8869093048047407,2.352929351028595,2.87117375469681,2.173772607615593
1649608108.125807,-0.5718482663234271,-2.3303557139369517,-1.511435909180973,2.8876511379122984,2.351814846430438,2.886842272744499,2.179359036505339
1649608108.22678,-0.5718267806626252,-2.330719384893888,-1.5121340402159804,2.8889618099769914,2.356273789078355,2.884870011731503,2.2040414105206825
1649608108.3175383,-0.5718767102208528,-2.32987841030051,-1.511610441939725,2.8889618099769914,2.356273789078355,2.886897057772638,2.1857627298111946
1649608108.4182534,-0.5718224585450928,-2.3307875557845117,-1.5105632453872133,2.8886846814930855,2.364851841728484,2.886130067378695,2.174773764346751
1649608108.51912,-0.5718917214872303,-2.3296512114443817,-1.5089924484778523,2.8856860627071015,2.34018651494309,2.883993451281283,2.151921592988196
1649608108.6197674,-0.5718559187206249,-2.3302421234533885,-1.5110868436634692,2.887833897292242,2.3558326708093453,2.8923755605865153,2.1804185168209687
1649608108.7207212,-0.5718559187206249,-2.3302421234533885,-1.5110868436634692,2.887833897292242,2.3558326708093453,2.9016342303419678,2.1853621311556477
1649608108.8215318,-0.5718491151953782,-2.330355765321174,-1.5109123109047173,2.887833897292242,2.3558326708093453,2.9016342303419678,2.1853621311556477
1649608108.9221299,-0.5718491151953782,-2.330355765321174,-1.5096905795128597,2.8858081706577696,2.351383779196163,2.8857465721817235,2.1877224224689757
1649608109.0231164,-0.5718574023946208,-2.3302194025002327,-1.5100396450303635,2.8862010671538014,2.350329694558589,2.88947195409516,2.1749944790846456
1649608109.124009,-0.5718367042299107,-2.330560310751902,-1.5103887105478675,2.8866133031410772,2.352059902298812,2.8874996930821646,2.1509385455781285
1649608109.224816,-0.5718491865952551,-2.330355769652263,-1.5105632453872133,2.886028747320384,2.3503758408507953,2.8823499004371196,2.1853301070767555
1649608109.3256617,-0.5718410342658894,-2.3304921405994916,-1.511610441939725,2.888061621535221,2.3535457907298376,2.890238944489103,2.1913479273532843
1649608109.4265614,-0.5718534551473528,-2.3302875957794966,-1.5100396450303635,2.885497304267396,2.3477729176552335,2.8923207755583764,2.1997774255909635
1649608109.517288,-0.5718604074235475,-2.3301739629170326,-1.5096905795128597,2.8854743397955342,2.3489208008109776,2.8976349232878373,2.1658686805388547
1649608109.6180515,-0.5718480182707673,-2.330378509736156,-1.5103887105478675,2.8868321769599756,2.3536840907895296,2.8767070425388264,2.1856278014973505
1649608109.7188995,-0.5718494047594819,-2.3303557829208676,-1.5098651122716116,2.8868380271300484,2.3537274874014504,2.88947195409516,2.186148425745488
1649608109.8201118,-0.5718466159159835,-2.330401235579801,-1.5091669812366042,2.886028868002591,2.351696884980259,2.890458084601658,2.187385027609015
1649608109.9211447,-0.570402874818246,-2.3532385185665037,-1.504105527071611,2.90425522468429,2.5066177655895547,2.8906224396860747,2.18489574829833
1649608110.021981,-0.565760470559811,-2.4188314481179756,-1.497996872192917,2.9380795943004125,2.903774165664179,2.876816612595104,2.1244784799530443
1649608110.1229737,-0.5581529951883496,-2.5186346819958345,-1.4941571515003762,2.962652966581139,3.2746637447358746,2.895991372443674,2.144034654908117
1649608110.2239265,-0.5475062199923968,-2.6599488350343177,-1.4962515446053986,2.993181327600224,3.749190420293767,2.917850598671045,2.3075357577620523
1649608110.3246372,-0.5359017967197881,-2.831478438811117,-1.5013445784388892,3.0298558671288847,4.555239725479633,2.967704974277328,2.4168943259808224
1649608110.4255607,-0.5257913174830062,-3.0199177835892246,-1.5108720010651162,3.0643563033703334,5.546180626178598,3.0057805688337753,2.7248341658280872
1649608110.5262716,-0.5169246737839253,-3.168951006543305,-1.5133154617682367,2.964631536217259,3.1071940200025217,2.9694145060275323,2.9177117257479575
1649608110.6169891,-0.5098705262609707,-3.299728179928371,-1.5218675752694566,2.9745283761937706,3.1899072637286956,3.004813188844377,3.3440488785742257
1649608110.7178197,-0.5067642779274051,-3.38170504102934,-1.5295667726033166,2.991586777432852,3.3085798131321056,3.000517194196808,3.392986129800848
1649608110.8182604,-0.5206166964494876,-3.407250825811146,-1.5582764084067797,3.0595971428439697,4.205217025629848,2.983866557578266,3.651356736344836
1649608110.9191203,-0.5301866392847727,-3.4313642663304558,-1.576989458907696,3.066118670458649,3.9454954362361425,3.0268180196390637,3.509832008280465
1649608111.0202663,-0.5301806921931347,-3.4307039893833364,-1.5785602551993816,3.0485368172748473,3.4587986228978207,3.0498825164854875,3.4831352294812254
1649608111.1209846,-0.5300829198898303,-3.4105991491910674,-1.5747205308657997,3.040058665660009,3.3711700448985176,3.022549966603078,3.4656812624500084
1649608111.2217653,-0.5296927477261255,-3.3480082415064256,-1.5787347880881706,3.0214026581288085,2.954503055464932,3.0296120560741415,3.606996004214637
1649608111.322764,-0.5285009646510772,-3.2450991004123853,-1.585192506403773,3.0090441551843785,2.701780059216428,3.061003877197658,3.6279657935245586
1649608111.4236236,-0.5331937275119274,-3.1166063397949046,-1.596872603277595,2.9819050381900887,2.146773473344738,3.0421578275179204,3.5658838589177635
1649608111.5246048,-0.5241697238619992,-2.957864072400713,-1.6848152256190885,3.101347009897589,1.9930752544153056,3.027475439976729,3.1981875771080253
1649608111.6255014,-0.48820425368841786,-2.792483345346994,-1.8809902212261311,3.40846356803733,1.8199883512615402,3.136552431001026,2.9818428533800243
1649608111.7264783,-0.416708516564398,-2.6616860544657563,-2.2063977259172667,4.167398649948414,1.505447162535749,3.412161448335808,2.6657672862943183
1649608111.8175125,-0.352798269466711,-2.609129033750465,-2.387639360415323,4.367087123496346,1.5987611335418137,3.7974659351249196,2.4825659132134015
1649608111.918153,-0.2692061673701681,-2.545836739814623,-2.564092158444594,4.404312999665701,2.122321422970858,4.018874995460015,2.312413547458252
1649608112.0187838,-0.2445790555493657,-2.530166974581179,-2.577356631464979,4.363036551659087,2.1807306439576393,4.1706649217549145,2.253157288695588
1649608112.1195385,-0.2604281141919602,-2.512419706937777,-2.521507203670242,4.137652250821259,2.4083037585183926,4.1392503833408085,2.1092968369078613
1649608112.2204144,-0.28971749343288944,-2.5158367568184574,-2.5049381820078316,4.03820534434641,2.4617724645056485,4.141957987998343,2.271223799445842
1649608112.3214774,-0.3505732798248845,-2.5599447325419025,-2.5248349248279225,3.93691121114106,2.760895523637713,4.07237869358027,2.2706762448915443
1649608112.4223878,-0.4421421474990714,-2.6192983572048707,-2.6126249648979485,3.82815050443729,3.4396968495189717,4.064062957390451,2.3539176810825455
