timestamp,vx,vt,old_angle,old_distance,new_angle,new_distance
1650057512.4143481,-0.0018215254865748044,0.005463893473040283,-2.617438425173652,3.2302486971586126,-2.615092617718524,3.2351743277001326
1650057512.5155933,-0.003415360287327759,0.0061468801571703206,-2.616485112917248,3.2293540094552986,-2.613842393540017,3.235018560166778
1650057512.6166942,-0.0004553813716437011,0.0013659733682600708,-2.617182256745808,3.230169277189726,-2.6147315802397086,3.2353078630303154
1650057512.71793,0.00022769068582185055,-0.0006829866841300354,-2.6173929691082107,3.2314372677391074,-2.6149751081225205,3.23675336200841
1650057512.8189807,0.00022769068582185038,-0.0047809067889102485,-2.6171753228974075,3.2312012742985603,-2.6146130631584987,3.23412501166206
1650057512.9202495,0.0036430509731496083,-0.012293760314340636,-2.617379917692134,3.2307925560572404,-2.6153784223985648,3.240022741916274
1650057513.0110805,-0.0034153602873277585,0.007512853525430391,-2.6165725328191756,3.227539136846758,-2.613917294527913,3.233141724763325
1650057513.1121123,-0.0034153602873277585,0.007512853525430391,-2.6166799232445244,3.2273668099779385,-2.614024356955915,3.232968478147218
1650057513.2132957,-0.0034153602873277585,0.007512853525430391,-2.6166799232445244,3.2273668099779385,-2.614024356955915,3.232968478147218
1650057513.3141935,0.005692267145546264,-0.01844064047151096,-2.618292373921173,3.2323837177327808,-2.615745987938393,3.2417578473328406
1650057513.415238,-0.002049216172396655,0.003414933420650177,-2.6176456225542735,3.225843085960881,-2.6141305346553745,3.235417670350717
1650057513.5162585,-0.0011384534291092527,0.0020489600523901064,-2.6171454912003873,3.229029564022732,-2.6145204723885525,3.2347936289109644
1650057513.6172564,0.0011384534291092531,-0.0047809067889102485,-2.6178647187229127,3.229808234016111,-2.6146160540436,3.2368697532954243
1650057513.718361,0.0,-0.0013659733682600708,-2.61788367344152,3.229777935355685,-2.6152892173574585,3.2357087519649887
1650057513.8195388,-0.0009107627432874024,0.0013659733682600715,-2.617001456122287,3.230438291287194,-2.614389344524415,3.2354736315462347
1650057513.9207506,-0.00022769068582185055,-0.0006829866841300354,-2.6173990923291948,3.229374926703841,-2.6146949318047485,3.2354924437749575
1650057514.0117638,0.00022769068582185055,-0.0020489600523901064,-2.617317543586319,3.229672425734338,-2.614785379129898,3.235950338561048
1650057514.1128507,0.00022769068582185055,-0.0006829866841300354,-2.617317543586319,3.229672425734338,-2.614785379129898,3.235950338561048
1650057514.213742,0.0006830720574655518,-0.002048960052390107,-2.617581730890761,3.2295513189353113,-2.6149643453769964,3.235355575330798
1650057514.3146846,0.3725019620045475,0.013659733682600624,-2.6350594056624415,3.3318006584188007,-2.639006322924148,3.3919609806704694
1650057514.415856,0.4706366475937651,0.007512853525430335,-2.6801846633660436,3.737313267486741,-2.687697023527594,3.818088976870102
1650057514.516882,0.9351256466703404,0.026636480681071394,-2.783118441088009,4.68617127768678,-2.7620761815007397,4.502478877077594
1650057514.6178923,1.415552993754445,-0.015708693734990526,-2.76410702590403,4.7137559490856145,-2.782957554486021,4.97906645170748
1650057514.7190533,1.796479511134401,-0.11064384282906571,-2.7393394436505423,4.836624988040398,-2.8272703279664935,6.133719671882619
1650057514.8200533,1.8609159752219848,-0.12635253656405657,-2.7731554108924006,5.813463459084138,-2.820773091685031,6.797204208404674
1650057514.9109821,1.3716086913908279,-0.1338653900894865,-2.5974490454626995,4.282509919916501,-2.766950622095521,6.218901152113465
1650057515.0120695,1.3399596860615905,-0.13318240340535648,-2.5974490454626995,4.282509919916501,-2.7297529675257803,6.282750566029969
1650057515.1129742,1.3310797493145385,-0.14752512377208762,-2.5506914290177085,4.4738503395320945,-2.725536837302718,6.312382181352846
1650057515.2140024,0.377966538464272,-0.02185557389216115,-2.555269823122564,4.671672377062498,-2.700493630539676,6.141120601829734
1650057515.3150592,0.1848848368873427,0.05463893473040287,-2.5279047532646337,4.852066464360706,-2.552164652888057,5.299719009524024
1650057515.4161918,-0.015027585264242138,-0.028685440733461492,-2.5260347321811816,4.8644083720996845,-2.4982901569160445,4.960954324961997
1650057515.5171885,-0.1912601760903545,0.0027319467365201334,-2.5204546785780866,4.857290961571967,-2.466988879702735,4.771957528321048
1650057515.6183016,-0.303283993514705,0.021855573892161067,-2.522211523146368,4.82943918721067,-2.4503682356318293,4.639183185823092
1650057515.7191021,-1.09746910566132,-0.08878826893690464,-2.3999904204913287,4.095534472971862,-2.3661798869373345,4.171452507257088
1650057515.8199806,-1.5583150537647454,-0.6624970836061346,-2.391603448174163,3.878078140043622,-2.498727583551656,4.720157932267922
1650057515.9206638,-1.5897363684081607,-1.6063846810738436,-2.359414175608823,3.6644548691613505,-2.201200182964488,3.4357559297263354
1650057516.0112667,-1.5963393982969942,-1.7532268181618007,-2.3102448302517713,3.745860112458523,-2.140626555687589,3.5191038658569
1650057516.1123042,-1.919660172164022,-3.2790190705083004,-2.2500994724786394,3.8207337670491834,-2.0168590652306975,3.5034058462390263
1650057516.2131696,-0.8542954532035834,-1.902800901986279,-1.9714557844810279,4.5310874839281166,-1.90445529307423,4.211716310129538
1650057516.3140917,-0.6607583702550104,-0.7567492460160794,-2.027709646548176,4.396219644229491,-1.9078298404987302,4.542880625743617
1650057516.4149718,-0.3936771957859796,-0.21104288539618082,-1.9690092988972265,4.513914210891483,-1.9496709488456403,4.5923691969967715
1650057516.5159118,-0.32423153661031523,-0.12293760314340646,-2.016995135019056,4.608871166995963,-1.9561639518711942,4.57816307733178
1650057516.6169791,-0.053051929796491176,0.030734400785851605,-2.016995135019056,4.608871166995963,-2.0158206234104963,4.67966506126873
